QUEUE STATISTICS FOR EXPERIMENT 9273
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/5072
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/2412
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1564
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/2538
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2632
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/2707
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2595
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2576
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/4354
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/5136
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/3946
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/3778
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/3345
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/3290
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/3327
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/3207
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/5262
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/2195
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/3411
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/4463
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2712
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/2874
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/2786
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2755
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/2494
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2337
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3689
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2986
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/2676
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2697
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/2713
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2677
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1361
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/3602
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/2415
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2733
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/2015
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2023
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/2011
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/2048
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/2545
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1392
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2944
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1993
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1873
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/2001
