QUEUE STATISTICS FOR EXPERIMENT 653
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/1439
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/762
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/1360
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/1727
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/1253
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/1104
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/986
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/1277
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/1113
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/902
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/1411
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/1606
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/705
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/853
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/637
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/1072
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/598
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/579
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/2758
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/1003
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/1021
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/1017
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/890
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/1283
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/3097
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/1686
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/2630
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/1769
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/1613
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/2563
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/1775
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/796
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/1059
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/860
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/1915
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/1441
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/728
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/836
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/1616
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/804
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/3030
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/1385
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/1890
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/797
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/1764
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/1404
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/916
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/675
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/1151
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/864
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/1419
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1078
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/1875
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/966
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/1188
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/510
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/1073
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/1624
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/1385
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/1514
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/621
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/2023
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/1981
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/485
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/1453
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/1505
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/3184
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/1334
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/1550
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/1847
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/1477
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/1954
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/2907
