QUEUE STATISTICS FOR EXPERIMENT 2827
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 0/1992
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/1709
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/2414
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/3035
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/2077
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/1535
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/2102
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/2585
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/1966
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/1716
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/2329
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/2910
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/2195
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/1244
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/1420
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/1848
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/1533
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/1968
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/4082
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/1401
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/2581
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/1705
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/1028
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/2406
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/4838
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/2689
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/3347
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/3256
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/4753
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/3784
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/1957
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/2035
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/2652
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/1711
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/3060
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/2982
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/1785
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/2350
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/1842
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/1326
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/3776
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/2185
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/2554
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/1856
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/2959
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/1404
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/1559
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/1860
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/1489
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/1216
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/2317
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/1811
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/1810
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/2086
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/1248
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/1443
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/1621
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/3258
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2276
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/1894
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/1666
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/3480
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/1826
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/1234
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/2898
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/2791
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/5096
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/3926
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/2805
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/4797
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/3746
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/2152
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/3345
EDGE (2 ,1) PORT 1: Recv/Dropped : 0/1942
EDGE (2 ,1) PORT 2: Recv/Dropped : 0/2033
EDGE (2 ,1) PORT 3: Recv/Dropped : 0/2867
EDGE (2 ,1) PORT 4: Recv/Dropped : 0/2501
EDGE (2 ,1) PORT 5: Recv/Dropped : 0/2819
EDGE (2 ,1) PORT 6: Recv/Dropped : 0/829
EDGE (2 ,1) PORT 7: Recv/Dropped : 0/3256
EDGE (2 ,2) PORT 0: Recv/Dropped : 0/4349
EDGE (2 ,2) PORT 1: Recv/Dropped : 0/3092
EDGE (2 ,2) PORT 2: Recv/Dropped : 0/2202
EDGE (2 ,2) PORT 3: Recv/Dropped : 0/2801
EDGE (2 ,2) PORT 4: Recv/Dropped : 0/2683
EDGE (2 ,2) PORT 5: Recv/Dropped : 0/2390
EDGE (2 ,2) PORT 6: Recv/Dropped : 0/3595
EDGE (2 ,2) PORT 7: Recv/Dropped : 0/1986
EDGE (2 ,3) PORT 0: Recv/Dropped : 0/2397
EDGE (2 ,3) PORT 1: Recv/Dropped : 0/2443
EDGE (2 ,3) PORT 2: Recv/Dropped : 0/1810
EDGE (2 ,3) PORT 3: Recv/Dropped : 0/2819
EDGE (2 ,3) PORT 4: Recv/Dropped : 0/1750
EDGE (2 ,3) PORT 5: Recv/Dropped : 0/2171
EDGE (2 ,3) PORT 6: Recv/Dropped : 0/2185
EDGE (2 ,3) PORT 7: Recv/Dropped : 0/2288
EDGE (3 ,0) PORT 0: Recv/Dropped : 0/1434
EDGE (3 ,0) PORT 1: Recv/Dropped : 0/2675
EDGE (3 ,0) PORT 2: Recv/Dropped : 0/2726
EDGE (3 ,0) PORT 3: Recv/Dropped : 0/3920
EDGE (3 ,0) PORT 4: Recv/Dropped : 0/1887
EDGE (3 ,0) PORT 5: Recv/Dropped : 0/2413
EDGE (3 ,0) PORT 6: Recv/Dropped : 0/1449
EDGE (3 ,0) PORT 7: Recv/Dropped : 0/2536
EDGE (3 ,1) PORT 0: Recv/Dropped : 0/3929
EDGE (3 ,1) PORT 1: Recv/Dropped : 0/1921
EDGE (3 ,1) PORT 2: Recv/Dropped : 0/2718
EDGE (3 ,1) PORT 3: Recv/Dropped : 0/3160
EDGE (3 ,1) PORT 4: Recv/Dropped : 0/2724
EDGE (3 ,1) PORT 5: Recv/Dropped : 0/2838
EDGE (3 ,1) PORT 6: Recv/Dropped : 0/2162
EDGE (3 ,1) PORT 7: Recv/Dropped : 0/1999
EDGE (3 ,2) PORT 0: Recv/Dropped : 0/2128
EDGE (3 ,2) PORT 1: Recv/Dropped : 0/1501
EDGE (3 ,2) PORT 2: Recv/Dropped : 0/1853
EDGE (3 ,2) PORT 3: Recv/Dropped : 0/1562
EDGE (3 ,2) PORT 4: Recv/Dropped : 0/1157
EDGE (3 ,2) PORT 5: Recv/Dropped : 0/1022
EDGE (3 ,2) PORT 6: Recv/Dropped : 0/1718
EDGE (3 ,2) PORT 7: Recv/Dropped : 0/1444
EDGE (3 ,3) PORT 0: Recv/Dropped : 0/2098
EDGE (3 ,3) PORT 1: Recv/Dropped : 0/4235
EDGE (3 ,3) PORT 2: Recv/Dropped : 0/2626
EDGE (3 ,3) PORT 3: Recv/Dropped : 0/2240
EDGE (3 ,3) PORT 4: Recv/Dropped : 0/2524
EDGE (3 ,3) PORT 5: Recv/Dropped : 0/1823
EDGE (3 ,3) PORT 6: Recv/Dropped : 0/1767
EDGE (3 ,3) PORT 7: Recv/Dropped : 0/1288
EDGE (4 ,0) PORT 0: Recv/Dropped : 0/2790
EDGE (4 ,0) PORT 1: Recv/Dropped : 0/4489
EDGE (4 ,0) PORT 2: Recv/Dropped : 0/2520
EDGE (4 ,0) PORT 3: Recv/Dropped : 0/1843
EDGE (4 ,0) PORT 4: Recv/Dropped : 0/1540
EDGE (4 ,0) PORT 5: Recv/Dropped : 0/1841
EDGE (4 ,0) PORT 6: Recv/Dropped : 0/2963
EDGE (4 ,0) PORT 7: Recv/Dropped : 0/3494
EDGE (4 ,1) PORT 0: Recv/Dropped : 0/1495
EDGE (4 ,1) PORT 1: Recv/Dropped : 0/2971
EDGE (4 ,1) PORT 2: Recv/Dropped : 0/2442
EDGE (4 ,1) PORT 3: Recv/Dropped : 0/3044
EDGE (4 ,1) PORT 4: Recv/Dropped : 0/1826
EDGE (4 ,1) PORT 5: Recv/Dropped : 0/1214
EDGE (4 ,1) PORT 6: Recv/Dropped : 0/1622
EDGE (4 ,1) PORT 7: Recv/Dropped : 0/2046
EDGE (4 ,2) PORT 0: Recv/Dropped : 0/3162
EDGE (4 ,2) PORT 1: Recv/Dropped : 0/3358
EDGE (4 ,2) PORT 2: Recv/Dropped : 0/2525
EDGE (4 ,2) PORT 3: Recv/Dropped : 0/2629
EDGE (4 ,2) PORT 4: Recv/Dropped : 0/1642
EDGE (4 ,2) PORT 5: Recv/Dropped : 0/2234
EDGE (4 ,2) PORT 6: Recv/Dropped : 0/1554
EDGE (4 ,2) PORT 7: Recv/Dropped : 0/2414
EDGE (4 ,3) PORT 0: Recv/Dropped : 0/2262
EDGE (4 ,3) PORT 1: Recv/Dropped : 0/1947
EDGE (4 ,3) PORT 2: Recv/Dropped : 0/2596
EDGE (4 ,3) PORT 3: Recv/Dropped : 0/2980
EDGE (4 ,3) PORT 4: Recv/Dropped : 0/1321
EDGE (4 ,3) PORT 5: Recv/Dropped : 0/1619
EDGE (4 ,3) PORT 6: Recv/Dropped : 0/1941
EDGE (4 ,3) PORT 7: Recv/Dropped : 0/2228
EDGE (5 ,0) PORT 0: Recv/Dropped : 0/3889
EDGE (5 ,0) PORT 1: Recv/Dropped : 0/2551
EDGE (5 ,0) PORT 2: Recv/Dropped : 0/2855
EDGE (5 ,0) PORT 3: Recv/Dropped : 0/3722
EDGE (5 ,0) PORT 4: Recv/Dropped : 0/1665
EDGE (5 ,0) PORT 5: Recv/Dropped : 0/2233
EDGE (5 ,0) PORT 6: Recv/Dropped : 0/1398
EDGE (5 ,0) PORT 7: Recv/Dropped : 0/2541
EDGE (5 ,1) PORT 0: Recv/Dropped : 0/1189
EDGE (5 ,1) PORT 1: Recv/Dropped : 0/3750
EDGE (5 ,1) PORT 2: Recv/Dropped : 0/2594
EDGE (5 ,1) PORT 3: Recv/Dropped : 0/2837
EDGE (5 ,1) PORT 4: Recv/Dropped : 0/2905
EDGE (5 ,1) PORT 5: Recv/Dropped : 0/2308
EDGE (5 ,1) PORT 6: Recv/Dropped : 0/1341
EDGE (5 ,1) PORT 7: Recv/Dropped : 0/2195
EDGE (5 ,2) PORT 0: Recv/Dropped : 0/1876
EDGE (5 ,2) PORT 1: Recv/Dropped : 0/3746
EDGE (5 ,2) PORT 2: Recv/Dropped : 0/3561
EDGE (5 ,2) PORT 3: Recv/Dropped : 0/3343
EDGE (5 ,2) PORT 4: Recv/Dropped : 0/2288
EDGE (5 ,2) PORT 5: Recv/Dropped : 0/2847
EDGE (5 ,2) PORT 6: Recv/Dropped : 0/2390
EDGE (5 ,2) PORT 7: Recv/Dropped : 0/3069
EDGE (5 ,3) PORT 0: Recv/Dropped : 0/3024
EDGE (5 ,3) PORT 1: Recv/Dropped : 0/1783
EDGE (5 ,3) PORT 2: Recv/Dropped : 0/2351
EDGE (5 ,3) PORT 3: Recv/Dropped : 0/3746
EDGE (5 ,3) PORT 4: Recv/Dropped : 0/1498
EDGE (5 ,3) PORT 5: Recv/Dropped : 0/2543
EDGE (5 ,3) PORT 6: Recv/Dropped : 0/3287
EDGE (5 ,3) PORT 7: Recv/Dropped : 0/2237
EDGE (6 ,0) PORT 0: Recv/Dropped : 0/2269
EDGE (6 ,0) PORT 1: Recv/Dropped : 0/1916
EDGE (6 ,0) PORT 2: Recv/Dropped : 0/1784
EDGE (6 ,0) PORT 3: Recv/Dropped : 0/1699
EDGE (6 ,0) PORT 4: Recv/Dropped : 0/1628
EDGE (6 ,0) PORT 5: Recv/Dropped : 0/2214
EDGE (6 ,0) PORT 6: Recv/Dropped : 0/1202
EDGE (6 ,0) PORT 7: Recv/Dropped : 0/3126
EDGE (6 ,1) PORT 0: Recv/Dropped : 0/3089
EDGE (6 ,1) PORT 1: Recv/Dropped : 0/1659
EDGE (6 ,1) PORT 2: Recv/Dropped : 0/3419
EDGE (6 ,1) PORT 3: Recv/Dropped : 0/4318
EDGE (6 ,1) PORT 4: Recv/Dropped : 0/3298
EDGE (6 ,1) PORT 5: Recv/Dropped : 0/2646
EDGE (6 ,1) PORT 6: Recv/Dropped : 0/2874
EDGE (6 ,1) PORT 7: Recv/Dropped : 0/3516
EDGE (6 ,2) PORT 0: Recv/Dropped : 0/4414
EDGE (6 ,2) PORT 1: Recv/Dropped : 0/2206
EDGE (6 ,2) PORT 2: Recv/Dropped : 0/2431
EDGE (6 ,2) PORT 3: Recv/Dropped : 0/4645
EDGE (6 ,2) PORT 4: Recv/Dropped : 0/2723
EDGE (6 ,2) PORT 5: Recv/Dropped : 0/1190
EDGE (6 ,2) PORT 6: Recv/Dropped : 0/2253
EDGE (6 ,2) PORT 7: Recv/Dropped : 0/3553
EDGE (6 ,3) PORT 0: Recv/Dropped : 0/1737
EDGE (6 ,3) PORT 1: Recv/Dropped : 0/3633
EDGE (6 ,3) PORT 2: Recv/Dropped : 0/2287
EDGE (6 ,3) PORT 3: Recv/Dropped : 0/3054
EDGE (6 ,3) PORT 4: Recv/Dropped : 0/2213
EDGE (6 ,3) PORT 5: Recv/Dropped : 0/2105
EDGE (6 ,3) PORT 6: Recv/Dropped : 0/3092
EDGE (6 ,3) PORT 7: Recv/Dropped : 0/2085
EDGE (7 ,0) PORT 0: Recv/Dropped : 0/2815
EDGE (7 ,0) PORT 1: Recv/Dropped : 0/1863
EDGE (7 ,0) PORT 2: Recv/Dropped : 0/1428
EDGE (7 ,0) PORT 3: Recv/Dropped : 0/2908
EDGE (7 ,0) PORT 4: Recv/Dropped : 0/1847
EDGE (7 ,0) PORT 5: Recv/Dropped : 0/1237
EDGE (7 ,0) PORT 6: Recv/Dropped : 0/1917
EDGE (7 ,0) PORT 7: Recv/Dropped : 0/2061
EDGE (7 ,1) PORT 0: Recv/Dropped : 0/1462
EDGE (7 ,1) PORT 1: Recv/Dropped : 0/2809
EDGE (7 ,1) PORT 2: Recv/Dropped : 0/1865
EDGE (7 ,1) PORT 3: Recv/Dropped : 0/999
EDGE (7 ,1) PORT 4: Recv/Dropped : 0/1407
EDGE (7 ,1) PORT 5: Recv/Dropped : 0/1860
EDGE (7 ,1) PORT 6: Recv/Dropped : 0/2060
EDGE (7 ,1) PORT 7: Recv/Dropped : 0/1734
EDGE (7 ,2) PORT 0: Recv/Dropped : 0/4279
EDGE (7 ,2) PORT 1: Recv/Dropped : 0/5235
EDGE (7 ,2) PORT 2: Recv/Dropped : 0/6414
EDGE (7 ,2) PORT 3: Recv/Dropped : 0/2442
EDGE (7 ,2) PORT 4: Recv/Dropped : 0/4285
EDGE (7 ,2) PORT 5: Recv/Dropped : 0/3344
EDGE (7 ,2) PORT 6: Recv/Dropped : 0/3843
EDGE (7 ,2) PORT 7: Recv/Dropped : 0/2815
EDGE (7 ,3) PORT 0: Recv/Dropped : 0/3777
EDGE (7 ,3) PORT 1: Recv/Dropped : 0/3630
EDGE (7 ,3) PORT 2: Recv/Dropped : 0/3023
EDGE (7 ,3) PORT 3: Recv/Dropped : 0/3545
EDGE (7 ,3) PORT 4: Recv/Dropped : 0/3820
EDGE (7 ,3) PORT 5: Recv/Dropped : 0/3337
EDGE (7 ,3) PORT 6: Recv/Dropped : 0/2245
EDGE (7 ,3) PORT 7: Recv/Dropped : 0/2466
 -- AGG QUEUE STATISTICS --
AGG (0 ,0) PORT 0: Recv/Dropped : 0/1070
AGG (0 ,0) PORT 1: Recv/Dropped : 0/2657
AGG (0 ,0) PORT 2: Recv/Dropped : 0/1770
AGG (0 ,0) PORT 3: Recv/Dropped : 0/1977
AGG (0 ,0) PORT 4: Recv/Dropped : 0/3146
AGG (0 ,0) PORT 5: Recv/Dropped : 0/1123
AGG (0 ,0) PORT 6: Recv/Dropped : 0/797
AGG (0 ,0) PORT 7: Recv/Dropped : 0/1568
AGG (0 ,1) PORT 0: Recv/Dropped : 0/2900
AGG (0 ,1) PORT 1: Recv/Dropped : 0/1805
AGG (0 ,1) PORT 2: Recv/Dropped : 0/813
AGG (0 ,1) PORT 3: Recv/Dropped : 0/1713
AGG (0 ,1) PORT 4: Recv/Dropped : 0/798
AGG (0 ,1) PORT 5: Recv/Dropped : 0/1150
AGG (0 ,1) PORT 6: Recv/Dropped : 0/1055
AGG (0 ,1) PORT 7: Recv/Dropped : 0/1952
AGG (0 ,2) PORT 0: Recv/Dropped : 0/2269
AGG (0 ,2) PORT 1: Recv/Dropped : 0/1993
AGG (0 ,2) PORT 2: Recv/Dropped : 0/1538
AGG (0 ,2) PORT 3: Recv/Dropped : 0/1774
AGG (0 ,2) PORT 4: Recv/Dropped : 0/650
AGG (0 ,2) PORT 5: Recv/Dropped : 0/1077
AGG (0 ,2) PORT 6: Recv/Dropped : 0/1432
AGG (0 ,2) PORT 7: Recv/Dropped : 0/972
AGG (0 ,3) PORT 0: Recv/Dropped : 0/3354
AGG (0 ,3) PORT 1: Recv/Dropped : 0/2590
AGG (0 ,3) PORT 2: Recv/Dropped : 0/2062
AGG (0 ,3) PORT 3: Recv/Dropped : 0/3379
AGG (0 ,3) PORT 4: Recv/Dropped : 0/1729
AGG (0 ,3) PORT 5: Recv/Dropped : 0/2074
AGG (0 ,3) PORT 6: Recv/Dropped : 0/1185
AGG (0 ,3) PORT 7: Recv/Dropped : 0/707
AGG (1 ,0) PORT 0: Recv/Dropped : 0/2682
AGG (1 ,0) PORT 1: Recv/Dropped : 0/2634
AGG (1 ,0) PORT 2: Recv/Dropped : 0/1248
