QUEUE STATISTICS FOR EXPERIMENT 3336
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 664/9419
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/81
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/66
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/63
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/1869
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/1955
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/1677
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/1563
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/90
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/66
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/71
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/68
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/56
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/142
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/34
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/179
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/75
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/65
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/86
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/67
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/107
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/72
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/126
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/104
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/66
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/91
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/72
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/51
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/63
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/152
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/142
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/38
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/86
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/77
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/73
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/71
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/120
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/105
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/111
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/81
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/72
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/73
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/80
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/77
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/173
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/74
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/84
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/74
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/74
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/72
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/84
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/75
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/91
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/99
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/83
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/149
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/63
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/80
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/2
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/3
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/43
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/51
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/79
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/39
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/69
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/78
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/81
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/85
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/123
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/131
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/99
EDGE (2 ,0) PORT 7: Recv/Dropped : 0/62
EDGE (2 ,1) PORT 0: Recv/Dropped : 0/66
EDGE (2 ,1) PORT 1: Recv/Dropped : 0/79
EDGE (2 ,1) PORT 2: Recv/Dropped : 0/73
EDGE (2 ,1) PORT 3: Recv/Dropped : 0/2
EDGE (2 ,1) PORT 4: Recv/Dropped : 0/89
EDGE (2 ,1) PORT 5: Recv/Dropped : 0/60
EDGE (2 ,1) PORT 6: Recv/Dropped : 0/86
EDGE (2 ,1) PORT 7: Recv/Dropped : 0/68
EDGE (2 ,2) PORT 0: Recv/Dropped : 0/79
EDGE (2 ,2) PORT 1: Recv/Dropped : 0/2
EDGE (2 ,2) PORT 2: Recv/Dropped : 0/75
EDGE (2 ,2) PORT 3: Recv/Dropped : 0/77
EDGE (2 ,2) PORT 4: Recv/Dropped : 0/78
EDGE (2 ,2) PORT 5: Recv/Dropped : 0/71
EDGE (2 ,2) PORT 6: Recv/Dropped : 0/103
EDGE (2 ,2) PORT 7: Recv/Dropped : 0/55
EDGE (2 ,3) PORT 0: Recv/Dropped : 0/80
EDGE (2 ,3) PORT 1: Recv/Dropped : 0/76
EDGE (2 ,3) PORT 2: Recv/Dropped : 0/75
EDGE (2 ,3) PORT 3: Recv/Dropped : 0/2
EDGE (2 ,3) PORT 4: Recv/Dropped : 0/21
EDGE (2 ,3) PORT 5: Recv/Dropped : 0/212
EDGE (2 ,3) PORT 6: Recv/Dropped : 0/30
EDGE (2 ,3) PORT 7: Recv/Dropped : 0/41
EDGE (3 ,0) PORT 0: Recv/Dropped : 0/65
EDGE (3 ,0) PORT 1: Recv/Dropped : 0/84
EDGE (3 ,0) PORT 2: Recv/Dropped : 0/63
EDGE (3 ,0) PORT 3: Recv/Dropped : 0/2
EDGE (3 ,0) PORT 4: Recv/Dropped : 0/40
EDGE (3 ,0) PORT 5: Recv/Dropped : 0/116
EDGE (3 ,0) PORT 6: Recv/Dropped : 0/96
EDGE (3 ,0) PORT 7: Recv/Dropped : 0/57
EDGE (3 ,1) PORT 0: Recv/Dropped : 0/70
EDGE (3 ,1) PORT 1: Recv/Dropped : 0/84
EDGE (3 ,1) PORT 2: Recv/Dropped : 0/64
EDGE (3 ,1) PORT 3: Recv/Dropped : 0/85
EDGE (3 ,1) PORT 4: Recv/Dropped : 0/124
EDGE (3 ,1) PORT 5: Recv/Dropped : 0/75
EDGE (3 ,1) PORT 6: Recv/Dropped : 0/115
EDGE (3 ,1) PORT 7: Recv/Dropped : 0/90
EDGE (3 ,2) PORT 0: Recv/Dropped : 0/68
EDGE (3 ,2) PORT 1: Recv/Dropped : 0/2
EDGE (3 ,2) PORT 2: Recv/Dropped : 0/90
EDGE (3 ,2) PORT 3: Recv/Dropped : 0/79
EDGE (3 ,2) PORT 4: Recv/Dropped : 0/83
