QUEUE STATISTICS FOR EXPERIMENT 9076
---------------------------
 -- EDGE QUEUE STATISTICS --
EDGE (0 ,0) PORT 0: Recv/Dropped : 193/8771
EDGE (0 ,0) PORT 1: Recv/Dropped : 0/86
EDGE (0 ,0) PORT 2: Recv/Dropped : 0/66
EDGE (0 ,0) PORT 3: Recv/Dropped : 0/65
EDGE (0 ,0) PORT 4: Recv/Dropped : 0/1415
EDGE (0 ,0) PORT 5: Recv/Dropped : 0/1503
EDGE (0 ,0) PORT 6: Recv/Dropped : 0/1391
EDGE (0 ,0) PORT 7: Recv/Dropped : 0/1362
EDGE (0 ,1) PORT 0: Recv/Dropped : 0/78
EDGE (0 ,1) PORT 1: Recv/Dropped : 0/68
EDGE (0 ,1) PORT 2: Recv/Dropped : 0/66
EDGE (0 ,1) PORT 3: Recv/Dropped : 0/63
EDGE (0 ,1) PORT 4: Recv/Dropped : 0/89
EDGE (0 ,1) PORT 5: Recv/Dropped : 0/112
EDGE (0 ,1) PORT 6: Recv/Dropped : 0/87
EDGE (0 ,1) PORT 7: Recv/Dropped : 0/106
EDGE (0 ,2) PORT 0: Recv/Dropped : 0/67
EDGE (0 ,2) PORT 1: Recv/Dropped : 0/65
EDGE (0 ,2) PORT 2: Recv/Dropped : 0/65
EDGE (0 ,2) PORT 3: Recv/Dropped : 0/76
EDGE (0 ,2) PORT 4: Recv/Dropped : 0/80
EDGE (0 ,2) PORT 5: Recv/Dropped : 0/119
EDGE (0 ,2) PORT 6: Recv/Dropped : 0/101
EDGE (0 ,2) PORT 7: Recv/Dropped : 0/91
EDGE (0 ,3) PORT 0: Recv/Dropped : 0/63
EDGE (0 ,3) PORT 1: Recv/Dropped : 0/64
EDGE (0 ,3) PORT 2: Recv/Dropped : 0/2
EDGE (0 ,3) PORT 3: Recv/Dropped : 0/2
EDGE (0 ,3) PORT 4: Recv/Dropped : 0/49
EDGE (0 ,3) PORT 5: Recv/Dropped : 0/61
EDGE (0 ,3) PORT 6: Recv/Dropped : 0/52
EDGE (0 ,3) PORT 7: Recv/Dropped : 0/39
EDGE (1 ,0) PORT 0: Recv/Dropped : 0/71
EDGE (1 ,0) PORT 1: Recv/Dropped : 0/68
EDGE (1 ,0) PORT 2: Recv/Dropped : 0/63
EDGE (1 ,0) PORT 3: Recv/Dropped : 0/63
EDGE (1 ,0) PORT 4: Recv/Dropped : 0/92
EDGE (1 ,0) PORT 5: Recv/Dropped : 0/123
EDGE (1 ,0) PORT 6: Recv/Dropped : 0/74
EDGE (1 ,0) PORT 7: Recv/Dropped : 0/103
EDGE (1 ,1) PORT 0: Recv/Dropped : 0/63
EDGE (1 ,1) PORT 1: Recv/Dropped : 0/66
EDGE (1 ,1) PORT 2: Recv/Dropped : 0/64
EDGE (1 ,1) PORT 3: Recv/Dropped : 0/81
EDGE (1 ,1) PORT 4: Recv/Dropped : 0/84
EDGE (1 ,1) PORT 5: Recv/Dropped : 0/89
EDGE (1 ,1) PORT 6: Recv/Dropped : 0/116
EDGE (1 ,1) PORT 7: Recv/Dropped : 0/99
EDGE (1 ,2) PORT 0: Recv/Dropped : 0/66
EDGE (1 ,2) PORT 1: Recv/Dropped : 0/64
EDGE (1 ,2) PORT 2: Recv/Dropped : 0/4
EDGE (1 ,2) PORT 3: Recv/Dropped : 0/3
EDGE (1 ,2) PORT 4: Recv/Dropped : 0/66
EDGE (1 ,2) PORT 5: Recv/Dropped : 0/43
EDGE (1 ,2) PORT 6: Recv/Dropped : 0/52
EDGE (1 ,2) PORT 7: Recv/Dropped : 0/45
EDGE (1 ,3) PORT 0: Recv/Dropped : 0/63
EDGE (1 ,3) PORT 1: Recv/Dropped : 0/4
EDGE (1 ,3) PORT 2: Recv/Dropped : 0/63
EDGE (1 ,3) PORT 3: Recv/Dropped : 0/63
EDGE (1 ,3) PORT 4: Recv/Dropped : 0/83
EDGE (1 ,3) PORT 5: Recv/Dropped : 0/61
EDGE (1 ,3) PORT 6: Recv/Dropped : 0/64
EDGE (1 ,3) PORT 7: Recv/Dropped : 0/93
EDGE (2 ,0) PORT 0: Recv/Dropped : 0/64
EDGE (2 ,0) PORT 1: Recv/Dropped : 0/62
EDGE (2 ,0) PORT 2: Recv/Dropped : 0/63
EDGE (2 ,0) PORT 3: Recv/Dropped : 0/74
EDGE (2 ,0) PORT 4: Recv/Dropped : 0/90
EDGE (2 ,0) PORT 5: Recv/Dropped : 0/121
EDGE (2 ,0) PORT 6: Recv/Dropped : 0/84
